label;parent;chapter
ancient class;;PLINE-10-annoteIPL
nouishment;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
aquatic bird;;PLINE-10-annoteIPL
aquatic bird;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
peacock;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
shallow water;;PLINE-10-annoteIPL
shallow water;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
flatfish;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
entomon;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
entomon;;PLINE-10-annoteIPL
ancient class;;PLINE-11-annoteIPL
not blooded;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
not blooded;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
not blooded;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
blooded;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
not blooded;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
comparison with another animal;;PLINE-11-annoteIPL
crustacean;;PLINE-11-annoteIPL
crustacean;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
surviving capacity;;PLINE-11-annoteIPL
surviving capacity;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
in favor of animal;;PLINE-11-annoteIPL
in favor of animal;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
beekeeping;;PLINE-11-annoteIPL
beekeeping;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
bug;;PLINE-11-annoteIPL
odour;;PLINE-11-annoteIPL
South-West wind;;PLINE-11-annoteIPL
South-West wind;;PLINE-11-annoteIPL
editorial problem;;PLINE-11-annoteIPL
South wind;;PLINE-11-annoteIPL
Aristomachus of Soli;;PLINE-11-annoteIPL
Aristomachus of Soli;;PLINE-11-annoteIPL
Philiscus of Thasos;;PLINE-11-annoteIPL
Hymettus;;PLINE-11-annoteIPL
Hymettus;;PLINE-11-annoteIPL
Calydna Island;;PLINE-11-annoteIPL
Calydna Island;;PLINE-11-annoteIPL
leef;;PLINE-11-annoteIPL
Paeligni;;PLINE-11-annoteIPL
Paeligni;;PLINE-11-annoteIPL
Iuppiter2;;PLINE-11-annoteIPL
ocular disease;;PLINE-11-annoteIPL
ocular disease;;PLINE-11-annoteIPL
editorial problem;;PLINE-11-annoteIPL
coit palam;;PLINE-11-annoteIPL
coit palam;;PLINE-11-annoteIPL
wild fig-tree;;PLINE-11-annoteIPL
September;;PLINE-11-annoteIPL
September;;PLINE-11-annoteIPL
possible bad comprehension of Arist. [[625]] a 6;;PLINE-11-annoteIPL
Colum. 9;;PLINE-11-annoteIPL
oestrus;;PLINE-11-annoteIPL
comparison with another animal;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
forehead;;PLINE-11-annoteIPL
hirarchy;;PLINE-11-annoteIPL
mythologicar or literary character;;PLINE-11-annoteIPL
Arbalon UNKNOWN PLACE;;PLINE-11-annoteIPL
Arbalon UNKNOWN PLACE;;PLINE-11-annoteIPL
comparison with human behaviour or qualities;;PLINE-11-annoteIPL
comparison with human behaviour or qualities;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
odour;;PLINE-11-annoteIPL
sadness;;PLINE-11-annoteIPL
medical knowledge;;PLINE-11-annoteIPL
sadness;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
gourmandise;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
relatve;;PLINE-11-annoteIPL
relatve;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
hornet drone;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
necydallus;;PLINE-11-annoteIPL
Pamphyle;;PLINE-11-annoteIPL
Pamphyle;;PLINE-11-annoteIPL
self care;;PLINE-11-annoteIPL
fether;;PLINE-11-annoteIPL
general apearance;;PLINE-11-annoteIPL
technical knowledge;;PLINE-11-annoteIPL
itelligence;;PLINE-11-annoteIPL
technical knowledge;;PLINE-11-annoteIPL
technical knowledge;;PLINE-11-annoteIPL
technical knowledge;;PLINE-11-annoteIPL
nature as spectacle;;PLINE-11-annoteIPL
technical knowledge;;PLINE-11-annoteIPL
hind quarters;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
3rd c. BCE;;PLINE-11-annoteIPL
auster;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
Psylli;;PLINE-11-annoteIPL
Psylli;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
not blooded;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
not blooded;;PLINE-11-annoteIPL
filio-paternal relationship;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
specially distinguishing feature;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
with sting;;PLINE-11-annoteIPL
with sting;;PLINE-11-annoteIPL
achetas;;PLINE-11-annoteIPL
frumentaria;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
with sting;;PLINE-11-annoteIPL
with sting;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
with sting;;PLINE-11-annoteIPL
with sting;;PLINE-11-annoteIPL
ancient classes;;PLINE-11-annoteIPL
luminiscence;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
specially distinguishing feature;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
measure unity;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
places;;PLINE-11-annoteIPL
jacdaw;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
Dardae;;PLINE-11-annoteIPL
Indian ant;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
entomon;;PLINE-11-annoteIPL
spontaneous generation from a non organic element;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
suze;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
with hair;;PLINE-11-annoteIPL
with hair;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
specially distinguishing feature;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
clothes-moth  archéotaxon;;PLINE-11-annoteIPL
smiliarity to another animal;;PLINE-11-annoteIPL
chrysallis;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
places;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
quadruped;;PLINE-11-annoteIPL
foot number;;PLINE-11-annoteIPL
pyrallis;;PLINE-11-annoteIPL
river Hypanis;;PLINE-11-annoteIPL
river Hypanis;;PLINE-11-annoteIPL
ancient class;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
from non organic element;;PLINE-11-annoteIPL
