annotation;text;concept;chapter
intestine;nihil intus nisi admodum paucis [[10]]  intestinum inplicatum;https://opentheso.huma-num.fr/?idc=105223&idt=th310;PLINE-11-annotéIPL
head;minime tamen capite, solumque non movetur nisi cum pectore avolsum;https://opentheso.huma-num.fr/?idc=105124&idt=th310;PLINE-11-annotéIPL
chest;nisi cum pectore avolsum;https://opentheso.huma-num.fr/?idc=105141&idt=th310;PLINE-11-annotéIPL
foot;in nullo genere plures sunt pedes, et quibus ex his plurimi, diutius vivunt divulsa, ut in scolopendris videmus;https://opentheso.huma-num.fr/?idc=105155&idt=th310;PLINE-11-annotéIPL
scolopendra;ut in scolopendris videmus;https://opentheso.huma-num.fr/?idc=105948&idt=th310;PLINE-11-annotéIPL
eye;habent autem oculos;https://opentheso.huma-num.fr/?idc=105128&idt=th310;PLINE-11-annotéIPL
sight;habent autem oculos;https://opentheso.huma-num.fr/?idc=105403&idt=th310;PLINE-11-annotéIPL
touch;<t>actum;https://opentheso.huma-num.fr/?idc=105406&idt=th310;PLINE-11-annotéIPL
taste;gustatum;https://opentheso.huma-num.fr/?idc=105404&idt=th310;PLINE-11-annotéIPL
smell;aliqua et odoratum;https://opentheso.huma-num.fr/?idc=105402&idt=th310;PLINE-11-annotéIPL
hearing;pauca et auditum;https://opentheso.huma-num.fr/?idc=105405&idt=th310;PLINE-11-annotéIPL
sense;praeterque <e> sensibus et <t>actum atque gustatum, aliqua et odoratum, pauca et auditum;https://opentheso.huma-num.fr/?idc=105253&idt=th310;PLINE-11-annotéIPL
entomon;Insecta multi negarunt spirare, idque ratione persuadentes, quoniam viscera interiora nexus spirabilis non inesse<n>t. itaque vivere ut fruges arboresque, sed plurimum interesse, spiret aliquid an vivat. eadem de causa nec sanguinem <i>is esse, qui sit nullis carentibus corde atque iecore. sic nec spirare ea quibus pulmo desit. unde numerosa  [[6]]  quaestionum series exoritur. <i>idem enim et vocem esse <i>is negant in tanto murmure apium, cicadarum sono, et alia quae suis aestimabuntur locis. nam mihi contuenti semper suasit rerum natura nihil incredibile existimare de ea. nec video cur magis possint non trahere animam talia et vivere quam spirare sine visceribus, quod etiam in marinis docuimus quamvis arcente spiritum densitate et altitudine umoris.  [[7]]  volare quidem aliqua et animatu carere in ipso spiritu viventia, habere sensum victus, generationis, operis atque etiam de futuro curam, et quamvis non sint membra quae velut carina sensus invehant, esse tamen iis auditum, olfactum, gustatum, eximia praeterea naturae dona, sollertiam,  [[8]]  animum, artem, quis facile crediderit? sanguinem non esse iis fateor sic ut terrestribus quidem, cunctis inter se similem:  verum ut saepiae in mari sanguinis vires atramentum optineat, purpurarum generi infector ille sucus, sic et insectis quisquis est vitalis umor, hic erit sanguis. denique existimatio sua cuique sit: nobis propositum est naturas rerum manifestas indicare, non causas indagare dubias. [[9]]  Insecta, ut intellegi possit, non videntur habere nervos nec ossa nec spinas nec cartilaginem nec pinguia nec carnes, ne crustam quidem fragilem ut quaedam marina, nec quae iure dicatur cutis, sed mediae cuiusdam inter omnia haec naturae corpus, arenti simile, nervo mollius, in reliquis partibus tutius vere quam durius. et hoc solum iis est, nec praeterea aliud. nihil intus nisi admodum paucis [[10]]  intestinum inplicatum. itaque divolsis praecipua vivacitas et partium singularum palpitatio, quia quaecumque est ratio vitalis illa non certis inest membris, sed toto in corpore, minime tamen capite, solumque non movetur nisi cum pectore avolsum. in nullo genere plures sunt pedes, et quibus ex his plurimi, diutius vivunt divulsa, ut in scolopendris videmus. habent autem oculos praeterque <e> sensibus et <t>actum atque gustatum, aliqua et odoratum, pauca et auditum. [[11]]  Sed inter omnia ea principatus apibus;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
animal product;solis ex eo genere hominum causa genitis. mella contrahunt sucumque dulcissimum atque subtilissimum ac saluberrimum;https://opentheso.huma-num.fr/?idc=105544&idt=th310;PLINE-11-annotéIPL
honey;solis ex eo genere hominum causa genitis. mella contrahunt sucumque dulcissimum atque subtilissimum ac saluberrimum;https://opentheso.huma-num.fr/?idc=pcrtsPauzzRS5z&idt=th310;PLINE-11-annotéIPL
animal product;favos confingunt et ceras mille ad usus vitae;https://opentheso.huma-num.fr/?idc=105544&idt=th310;PLINE-11-annotéIPL
wax;favos confingunt et ceras mille ad usus vitae;https://opentheso.huma-num.fr/?idc=107360&idt=th310;PLINE-11-annotéIPL
work;laborem tolerant, opera conficiunt;https://opentheso.huma-num.fr/?idc=107519&idt=th310;PLINE-11-annotéIPL
social organisation;rem p<ubli><cam> habent;https://opentheso.huma-num.fr/?idc=105458&idt=th310;PLINE-11-annotéIPL
intelligence;consilia privatim <quo>que;https://opentheso.huma-num.fr/?idc=105427&idt=th310;PLINE-11-annotéIPL
hierarchy;duces gregatim;https://opentheso.huma-num.fr/?idc=105459&idt=th310;PLINE-11-annotéIPL
gregarious;duces gregatim;https://opentheso.huma-num.fr/?idc=105457&idt=th310;PLINE-11-annotéIPL
wild;quod maxime mirum sit, mores habent praeter <cet>e<r>a, cum  [[12]]  sint neque mansueti generis neque feri;https://opentheso.huma-num.fr/?idc=106004&idt=th310;PLINE-11-annotéIPL
domestic;quod maxime mirum sit, mores habent praeter <cet>e<r>a, cum  [[12]]  sint neque mansueti generis neque feri;https://opentheso.huma-num.fr/?idc=4988&idt=th310;PLINE-11-annotéIPL
neither domestic nor wild;quod maxime mirum sit, mores habent praeter <cet>e<r>a, cum  [[12]]  sint neque mansueti generis neque feri;https://opentheso.huma-num.fr/?idc=107676&idt=th310;PLINE-11-annotéIPL
size;ex umbra minima animalis;https://opentheso.huma-num.fr/?idc=105270&idt=th310;PLINE-11-annotéIPL
work;efficaciae industriaeque;https://opentheso.huma-num.fr/?idc=107519&idt=th310;PLINE-11-annotéIPL
technical capacity;efficaciae industriaeque;https://opentheso.huma-num.fr/?idc=105453&idt=th310;PLINE-11-annotéIPL
force;vires;https://opentheso.huma-num.fr/?idc=105280&idt=th310;PLINE-11-annotéIPL
solidarity;quo<d> nihil novere nisi   commune;https://opentheso.huma-num.fr/?idc=105498&idt=th310;PLINE-11-annotéIPL
comparison with human behaviour and qualities;quos efficaciae industriaeque tant<ae> comparemus nervos, quas vires? quos ratione medius fidius <iis> viros, hoc certe praestantioribus, quo<d> nihil novere nisi   commune?;https://opentheso.huma-num.fr/?idc=105409&idt=th310;PLINE-11-annotéIPL
respiration;non sit de anima quaestio;https://opentheso.huma-num.fr/?idc=105245&idt=th310;PLINE-11-annotéIPL
size;in tantulis;https://opentheso.huma-num.fr/?idc=105270&idt=th310;PLINE-11-annotéIPL
blood;constet et de sanguine, quantulum tamen esse in tantulis potest?;https://opentheso.huma-num.fr/?idc=105186&idt=th310;PLINE-11-annotéIPL
intelligence;aestimemus post ea ingenium.;https://opentheso.huma-num.fr/?idc=105427&idt=th310;PLINE-11-annotéIPL
cold;pruinas;https://opentheso.huma-num.fr/?idc=105645&idt=th310;PLINE-11-annotéIPL
snow;nivesque;https://opentheso.huma-num.fr/?idc=105644&idt=th310;PLINE-11-annotéIPL
north wind;et aquilonum flatus;https://opentheso.huma-num.fr/?idc=107033&idt=th310;PLINE-11-annotéIPL
force;unde enim <firm>a<e> pruinas nivesque et aquilonum flatus perferre vires?;https://opentheso.huma-num.fr/?idc=105280&idt=th310;PLINE-11-annotéIPL
length of hibernation;minus diu;https://opentheso.huma-num.fr/?idc=105982&idt=th310;PLINE-11-annotéIPL
entomon;sane et insecta omnia, sed minus diu quae parietibus nostris occultata mature tepefiunt;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
habitat;minus diu quae parietibus nostris occultata mature tepefiunt;https://opentheso.huma-num.fr/?idc=105621&idt=th310;PLINE-11-annotéIPL
human space;minus diu quae parietibus nostris occultata mature tepefiunt;https://opentheso.huma-num.fr/?idc=108018&idt=th310;PLINE-11-annotéIPL
winter;Hieme conduntur_unde enim <firm>a<e> pruinas nivesque et aquilonum flatus perferre vires?_sane et insecta omnia, sed minus diu quae parietibus nostris occultata mature tepefiunt.;https://opentheso.huma-num.fr/?idc=105657&idt=th310;PLINE-11-annotéIPL
source;aut erraverunt priores;https://opentheso.huma-num.fr/?idc=105299&idt=th310;PLINE-11-annotéIPL
intellectual authority;aut erraverunt priores;https://opentheso.huma-num.fr/?idc=105301&idt=th310;PLINE-11-annotéIPL
undefined author/s;aut erraverunt priores;https://opentheso.huma-num.fr/?idc=105818&idt=th310;PLINE-11-annotéIPL
length of hibernation;conduntur a vergiliarum occasu et latent ultra exortum;https://opentheso.huma-num.fr/?idc=105982&idt=th310;PLINE-11-annotéIPL
astronomical calendar;conduntur a vergiliarum occasu et latent ultra exortum;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Pleiades;conduntur a vergiliarum occasu et latent ultra exortum;https://opentheso.huma-num.fr/?idc=107103&idt=th310;PLINE-11-annotéIPL
spring;non ad veris initium;https://opentheso.huma-num.fr/?idc=105655&idt=th310;PLINE-11-annotéIPL
astronomical calendar;non ad veris initium;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
spring equinox;non ad veris initium;https://opentheso.huma-num.fr/?idc=107006&idt=th310;PLINE-11-annotéIPL
source;adeo non ad veris initium, ut dixere;https://opentheso.huma-num.fr/?idc=105299&idt=th310;PLINE-11-annotéIPL
intellectual authority;adeo non ad veris initium, ut dixere;https://opentheso.huma-num.fr/?idc=105301&idt=th310;PLINE-11-annotéIPL
undefined author/s;adeo non ad veris initium, ut dixere;https://opentheso.huma-num.fr/?idc=105818&idt=th310;PLINE-11-annotéIPL
Italy;in Italia;https://opentheso.huma-num.fr/?idc=105718&idt=th310;PLINE-11-annotéIPL
source;nec quisquam in Italia de alvis existimat ante  [[14]]  fabas florentes;https://opentheso.huma-num.fr/?idc=105299&idt=th310;PLINE-11-annotéIPL
technical authority;nec quisquam in Italia de alvis existimat ante  [[14]]  fabas florentes;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;nec quisquam in Italia de alvis existimat ante  [[14]]  fabas florentes;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
zootechnical profession;nec quisquam in Italia de alvis existimat ante  [[14]]  fabas florentes;https://opentheso.huma-num.fr/?idc=105323&idt=th310;PLINE-11-annotéIPL
bean;ante  [[14]]  fabas florentes;https://opentheso.huma-num.fr/?idc=107521&idt=th310;PLINE-11-annotéIPL
agricultural calendar;ante  [[14]]  fabas florentes;https://opentheso.huma-num.fr/?idc=107763&idt=th310;PLINE-11-annotéIPL
hibernation;Hieme conduntur_unde enim <firm>a<e> pruinas nivesque et aquilonum flatus perferre vires?_sane et insecta omnia, sed minus diu quae parietibus nostris occultata mature tepefiunt. circa apes aut temporum locorumve ratio mutata est, aut erraverunt priores. conduntur a vergiliarum occasu et latent ultra exortum_adeo non ad veris initium, ut dixere, nec quisquam in Italia de alvis existimat ante  [[14]]  fabas florentes_,;https://opentheso.huma-num.fr/?idc=105256&idt=th310;PLINE-11-annotéIPL
